"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"255vSRpVq5YYKBJiem1BVx","Chơi Như Tụi Mỹ","Andree Right Hand","32","3","7","VN","2023-10-26","66","False","160848","Chơi Như Tụi Mỹ","2022-12-30","0.816","0.535","5","-7.351","0","0.0714","0.537","0.0","0.155","0.484","108.963","4"
"6VXVYATpQXEIoZ97NnWCmn","Vì Anh Đâu Có Biết","Madihu, Vũ.","31","-1","-3","VN","2023-10-26","69","False","241919","Vì Anh Đâu Có Biết","2022-08-04","0.775","0.358","9","-6.473","0","0.0527","0.861","0.0","0.415","0.524","139.982","4"
"3ukrFH17Zl6iEZ2QJ1Zwiy","Don't Côi","RPT Orijinn, Ronboogz","30","1","-6","VN","2023-10-26","67","True","148880","Don't Côi","2022-11-20","0.808","0.41","2","-10.981","0","0.105","0.816","0.0","0.102","0.361","110.079","4"
"28bxbqNcAuNxYDZYet6eZ7","Chỉ Một Đêm Nữa Thôi","RPT MCK, tlinh","29","-2","-2","VN","2023-10-26","67","True","141760","99%","2023-03-02","0.669","0.773","10","-8.182","1","0.108","0.13","4.01e-05","0.0838","0.358","170.085","4"
"4CUvVaAYuXtvYURLFz7EIL","Chuyện Đôi Ta (feat. Muộii)","Emcee L (Da LAB), Muộii (Starry Night)","28","-2","-2","VN","2023-10-26","68","False","208048","Chuyện Đôi Ta (feat. Muộii)","2021-12-01","0.517","0.467","0","-7.222","1","0.0442","0.724","0.0","0.0908","0.453","199.815","3"
"4X2vrRE8Pi5hBMbWRjofAU","NOLOVENOLIFE","HIEUTHUHAI","27","2","7","VN","2023-10-26","57","False","170898","Ai Cũng Phải Bắt Đầu Từ Đâu Đó","2023-10-16","0.812","0.704","4","-4.499","1","0.148","0.352","0.0","0.104","0.554","138.013","4"
"6Hs2xIgB8nzyGFDvVA8lFa","Có Em","Madihu, Low G","26","2","4","VN","2023-10-26","67","False","218512","Có em","2022-04-22","0.79","0.423","9","-7.965","0","0.0533","0.87","0.0","0.149","0.726","133.961","4"
"4jWmhzf53Q0ZvZMuGdiR9x","shhhhhhh..","WEAN, tlinh","25","0","0","VN","2023-10-26","63","False","230675","shhhhhhh..","2023-10-07","0.739","0.537","2","-7.241","0","0.0394","0.251","0.0","0.0998","0.379","137.97","4"
"4TMdpMJNQdcawl8JjZEwLk","Nụ hôn Bisou","Mikelodic","24","0","-6","VN","2023-10-26","67","False","156825","Nụ hôn Bisou","2022-10-28","0.81","0.459","6","-9.299","0","0.0653","0.678","0.0","0.131","0.401","124.058","4"
"25h0TqC9H3BcMA7KjK5nHK","vaicaunoicokhiennguoithaydoi","GREY D, tlinh","23","0","-2","VN","2023-10-26","69","False","225862","vaicaunoicokhiennguoithaydoi","2022-06-20","0.56","0.42","7","-10.729","1","0.257","0.882","0.000605","0.11","0.585","173.695","4"
"6gcuJpHu0Ey30D5WR76y98","You & Me","JENNIE","22","-2","-6","VN","2023-10-26","83","False","179164","JENNIE Special Single [You & Me]","2023-10-06","0.787","0.573","9","-6.197","1","0.0606","0.0147","1.72e-05","0.0926","0.575","111.996","4"
"3YctJXK6kznnWl68TnYobN","Anh Đã Ổn Hơn","RPT MCK","21","0","-2","VN","2023-10-26","68","False","194005","99%","2023-03-02","0.703","0.28","3","-9.56","1","0.0293","0.726","0.000282","0.118","0.338","141.892","3"
"1ZgiJ8fiSEwd07OpB9ZuRz","Cắt Đôi Nỗi Sầu","Tăng Duy Tân, Drum7","20","2","0","VN","2023-10-26","64","False","182000","Cắt Đôi Nỗi Sầu","2023-09-27","0.907","0.57","9","-8.185","0","0.0532","0.771","0.0166","0.104","0.582","120.042","4"
"0gzpqwLf1jhNjnSJEyweAX","Tình cờ yêu em","Kuun Đức Nam, Linh Thộn","19","-1","-5","VN","2023-10-26","67","False","258471","Tình cờ yêu em","2023-06-10","0.75","0.349","0","-9.389","1","0.051","0.305","0.0","0.295","0.481","82.002","3"
"3CyGK8BeJ5iCunpzvHyINs","Anh Luôn Như Vậy","B Ray","18","-2","-7","VN","2023-10-26","66","False","212732","Anh Luôn Như Vậy","2023-10-05","0.601","0.438","6","-12.432","1","0.0486","0.299","2.75e-06","0.0821","0.234","132.152","4"
"4exlWP8cokkWVCvyP3kg7c","nếu lúc đó","tlinh, 2pillz","17","0","-2","VN","2023-10-26","63","False","263752","ái","2023-08-16","0.632","0.577","4","-8.482","1","0.0319","0.333","0.000163","0.16","0.359","140.035","4"
"7jLSThU5Kg1RWt19Leiaxm","Chìm Sâu","RPT MCK, Trung Trần","16","3","1","VN","2023-10-26","66","True","156303","99%","2023-03-02","0.598","0.489","11","-8.884","0","0.0486","0.587","0.0","0.119","0.502","204.179","3"
"1o6cYDMHvKOfizi4d9Lqxr","id 072019","W/N","15","0","-2","VN","2023-10-26","70","False","271704","id 072019","2023-07-31","0.593","0.325","6","-11.214","1","0.0296","0.957","0.219","0.286","0.442","110.068","4"
"7tFwBnuaGXqiiONukPRaCo","Miên Man","Minh Huy","14","-1","-2","VN","2023-10-26","67","False","197998","Miên Man","2022-06-24","0.772","0.519","9","-10.351","1","0.0409","0.639","0.00203","0.101","0.628","120.038","4"
"0SLhB9JLM4Ksz1XdwK3aQD","Hà Nội (ft. VSTRA)","Obito, VSTRA","13","1","-3","VN","2023-10-26","65","False","165555","Đánh Đổi","2023-10-10","0.768","0.368","11","-13.274","0","0.047","0.329","0.105","0.284","0.365","107.998","4"
"2N0SPREDYqILVEFSsWF5N5","Love Me Again","V","12","0","-3","VN","2023-10-26","91","False","182293","Layover","2023-08-11","0.633","0.607","0","-6.182","0","0.0532","0.183","1.38e-06","0.167","0.363","74.029","4"
"2doGmsaPLdot51o80juiYU","Đánh Đổi (ft. RPT MCK)","Obito, RPT MCK","11","0","-3","VN","2023-10-26","66","True","226993","Đánh Đổi","2023-10-10","0.645","0.566","2","-12.294","1","0.14","0.237","4.73e-06","0.418","0.556","76.876","4"
"5J3m0taZ0W1E9HTE0MwcSv","Simp Gái 808","Low G","10","0","40","VN","2023-10-26","62","True","161948","Simp Gái 808","2023-10-18","0.778","0.514","8","-12.45","0","0.197","0.355","0.000535","0.323","0.224","94.994","4"
"2JuHIbFudHwDqQssgqsH3i","Lệ Lưu Ly","Vũ Phụng Tiên, DT Tập Rap, Drum7","9","0","-2","VN","2023-10-26","69","False","200842","Lệ Lưu Ly","2023-09-20","0.771","0.438","3","-10.909","0","0.0745","0.794","0.0454","0.112","0.622","94.997","4"
